Opponent/Game	Category	Start	Click	End	XY	Attacking Player	Shot Origin	Shot Outcome	Shot Location	Defending Player
Korea	@@@P1	00:00	00:00	00:00	Scrimmage 1 April 29 2026					
Korea	T-START	00:00	00:00	00:00	Scrimmage 1 April 29 2026					
Korea	Shot Canada	00:00	00:02	00:07	Scrimmage 1 April 29 2026	Amy	1	Goal Canada	5	
Korea	Shot Opponent	00:05	00:10	00:20	Scrimmage 1 April 29 2026	Player 10	4	Canada Ball Control Save	2.5	Elena
Korea	Shot Canada	00:15	00:20	00:31	Scrimmage 1 April 29 2026	Emma	4	Opponent Save	2	Player 12
Korea	Shot Opponent	00:27	00:32	00:48	Scrimmage 1 April 29 2026	Player 12	2	Goal Opponent	2.5	Elena
Korea	Shot Canada	00:44	00:49	00:59	Scrimmage 1 April 29 2026	Amy	2	Opponent Save	1.5	Player 12
Korea	Shot Opponent	00:54	00:59	01:04	Scrimmage 1 April 29 2026	Player 12	2	Canada Ball Control Save	1	Amy
Korea	Shot Opponent	01:02	01:07	01:18	Scrimmage 1 April 29 2026	Player 10	5	Canada Save	2.5	Amy
Korea	Shot Canada	01:14	01:19	01:26	Scrimmage 1 April 29 2026	Emma	5	Opponent Save	1.5	Player 12
Korea	Shot Opponent	01:21	01:26	01:32	Scrimmage 1 April 29 2026	Player 12	1	Canada Ball Control Save	3.5	Elena
Korea	Shot Canada	01:28	01:33	01:43	Scrimmage 1 April 29 2026	Emma	5	Opponent Save	2.5	Player 19
Korea	Shot Opponent	01:39	01:44	01:49	Scrimmage 1 April 29 2026	Player 12	2	Canada Ball Control Save	3	Elena
Korea	Shot Canada	01:44	01:49	02:01	Scrimmage 1 April 29 2026	Amy	2	Goal Canada	4	Player 10
Korea	Shot Opponent	01:59	02:04	02:17	Scrimmage 1 April 29 2026	Player 10	5	Canada Ball Control Save	2.5	Amy
Korea	Shot Canada	02:12	02:17	02:24	Scrimmage 1 April 29 2026	Amy	1	Opponent Save	5	Player 10
Korea	Shot Opponent	02:19	02:24	02:38	Scrimmage 1 April 29 2026	Player 10	5	Canada Ball Control Save	2.5	Elena
Korea	Shot Canada	02:34	02:39	02:49	Scrimmage 1 April 29 2026	Amy	1	Opponent Save	3.5	Player 19
Korea	Shot Opponent	02:45	02:50	03:03	Scrimmage 1 April 29 2026	Player 12	4	Goal Opponent	2	Amy
Korea	Shot Canada	03:00	03:05	03:18	Scrimmage 1 April 29 2026	Emma	5	Opponent Save	1	Player 12
